OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA
129942891,1,Eads St & 15th St S,31000,38.858971,-77.05323,YES,NO,,,NO,5,10,395379.968612,132352.116903,
129942892,2,18th & Eads St.,31001,38.85725,-77.05332,YES,NO,,,NO,4,6,395372.04559,132161.078081,
129942893,3,20th & Crystal Dr,31002,38.856425,-77.049232,YES,NO,,,NO,12,5,395726.817575,132069.297863,
129942894,4,15th & Crystal Dr,31003,38.86017,-77.049593,YES,NO,,,NO,5,6,395695.709759,132485.036787,
129942895,5,Aurora Hills Community Ctr/18th & Hayes St,31004,38.857866,-77.05949,YES,NO,,,NO,8,3,394836.559865,132229.789395,
129942896,6,Pentagon City Metro / 12th & S Hayes St,31005,38.862303,-77.059936,YES,NO,,,NO,15,3,394798.172638,132722.353775,
129942897,7,S Joyce & Army Navy Dr,31006,38.8637,-77.0633,YES,NO,,,NO,5,9,394506.319669,132877.628009,
129942898,8,Crystal City Metro / 18th & Bell St,31007,38.857063,-77.051141,YES,NO,,,NO,4,11,395561.162085,132140.21153,
129942899,9,12th & Army Navy Dr,31008,38.8629,-77.0528,YES,NO,,,NO,9,2,395417.542182,132788.242701,
129942900,10,27th & Crystal Dr,31009,38.848441,-77.051516,YES,NO,,,NO,11,7,395528.073448,131183.126642,
129942901,11,S Glebe & Potomac Ave,31010,38.8426,-77.0502,YES,NO,,,NO,9,2,395641.954311,130534.671309,
129942902,12,23rd & Crystal Dr,31011,38.8533,-77.0498,YES,NO,,,NO,1,14,395677.32773,131722.427303,
129942903,13,26th & S Clark St,31012,38.850688,-77.05152,YES,NO,,,NO,1,10,395527.866993,131432.559654,
129942904,14,19th St & Pennsylvania Ave NW,31100,38.9003,-77.0429,YES,NO,,,NO,0,15,396278.703991,136939.478279,
129942905,15,14th & V St NW,31101,38.9176,-77.0321,YES,NO,,,NO,25,2,397216.209,138859.535109,
129942906,16,11th & Kenyon St NW,31102,38.929464,-77.027822,YES,NO,,,NO,17,10,397587.609059,140176.418051,
129942907,17,16th & Harvard St NW,31103,38.926088,-77.036536,YES,NO,,,NO,23,10,396831.88529,139801.919449,
129942908,18,Adams Mill & Columbia Rd NW,31104,38.922925,-77.042581,YES,NO,,,NO,12,3,396307.546668,139451.026703,
129942909,19,14th & Harvard St NW,31105,38.9268,-77.0322,YES,NO,,,NO,6,13,397207.896987,139880.815985,
129942910,20,Calvert & Biltmore St NW,31106,38.923203,-77.047637,YES,NO,,,NO,2,21,395869.126792,139482.103704,
129942911,21,Lamont & Mt Pleasant NW,31107,38.9319,-77.0388,YES,NO,,,NO,14,5,396635.843238,140447.182418,
129942912,22,4th & M St SW,31108,38.8767,-77.0178,YES,NO,,,NO,18,4,398455.45489,134318.970619,
129942913,23,15th & P St NW,31201,38.90985,-77.034438,YES,NO,,,NO,16,3,397013.127347,137999.294799,
129942914,24,14th & R St NW,31202,38.912682,-77.031681,YES,NO,,,NO,13,2,397252.356245,138313.583526,
129942915,25,14th & Rhode Island Ave NW,31203,38.9086,-77.0323,YES,NO,,,NO,20,0,397198.511012,137860.466775,
129942916,26,20th & E St NW,31204,38.8963,-77.045,YES,NO,,,NO,0,14,396096.32378,136495.534104,
129942917,27,21st & I St NW,31205,38.9008,-77.047,YES,NO,,,NO,15,17,395923.08426,136995.157405,
129942918,28,Georgia & New Hampshire Ave NW,31400,38.936043,-77.024649,YES,NO,,,NO,10,4,397862.930843,140906.665097,
129942919,29,14th St & Spring Rd NW,31401,38.9375,-77.0328,YES,NO,,,NO,10,1,397156.297,141068.62723,
